0.4875,0.52745,0.8549,0.7375,0.1673,0.33875
0.5125,0.47255,0.1451,0.2625,0.8327,0.66125
0.7875,0.6892875,0.7414375,0.45,0.28095,0.665
0.2125,0.3107125,0.2585625,0.55,0.71905,0.335
0.6625,0.650125,0.7028875,0.5375,0.356425,0.59875
0.3375,0.349875,0.2971125,0.4625,0.643575,0.40125
0.6125,0.5898,0.6465625,0.45,0.3526,0.58
0.3875,0.4102,0.3534375,0.55,0.6474,0.42
0.725,0.7233,0.7397125,0.4375,0.3596625,0.735
0.275,0.2767,0.2602875,0.5625,0.6403375,0.265
0.5875,0.6320625,0.456675,0.4875,0.6831875,0.555
0.4125,0.3679375,0.543325,0.5125,0.3168125,0.445
0.5625,0.6349875,0.4396125,0.3875,0.579225,0.6925
0.4375,0.3650125,0.5603875,0.6125,0.420775,0.3075
0.6,0.6233375,0.6160875,0.4125,0.5972375,0.73625
0.4,0.3766625,0.3839125,0.5875,0.4027625,0.26375
0.6375,0.6473,0.6402875,0.5625,0.3929125,0.5375
0.3625,0.3527,0.3597125,0.4375,0.6070875,0.4625
1,0.7982875,1,0.575,0.166,0.71
0,0.2017125,0,0.425,0.834,0.29
0.5625,0.547675,0.19545,0.5,0.73465,0.50625
0.4375,0.452325,0.80455,0.5,0.26535,0.49375
0.5125,0.48705,0.948775,0.475,0,0.4075
0.4875,0.51295,0.051225,0.525,1,0.5925
0.6875,0.5748875,0.269375,0.2875,0.7088,0.46375
0.3125,0.4251125,0.730625,0.7125,0.2912,0.53625
0.6875,0.697575,0.6628375,0.4375,0.6188875,0.655
0.3125,0.302425,0.3371625,0.5625,0.3811125,0.345
0.8,0.72155,0.8966,0.4375,0.2954625,0.69875
0.2,0.27845,0.1034,0.5625,0.7045375,0.30125
0.8625,0.732375,0.9233625,0,0.353475,0.72
0.1375,0.267625,0.0766375,1,0.646525,0.28
0.5,0.6110875,0.55765,0.775,0.319875,0.54375
0.5,0.3889125,0.44235,0.225,0.680125,0.45625
0.6,0.5498125,0.5582375,0.45,0.557575,0.6075
0.4,0.4501875,0.4417625,0.55,0.442425,0.3925
0.7125,0.5613375,0.817575,0.5,0.2318625,0.49
0.2875,0.4386625,0.182425,0.5,0.7681375,0.51
0.7375,0.6623875,0.9293,0.6,0.0688875,0.64625
0.2625,0.3376125,0.0707,0.4,0.9311125,0.35375
0.475,0.508175,0.536275,0.5,0.476975,0.5125
0.525,0.491825,0.463725,0.5,0.523025,0.4875
0.6375,0.579325,1,0.5,0,0.54
0.3625,0.420675,0,0.5,1,0.46
0.6625,0.6019375,0.89085,0.5875,0.136825,0.51875
0.3375,0.3980625,0.10915,0.4125,0.863175,0.48125
0.7125,0.6877375,0.7217,0.75,0.2972125,0.59875
0.2875,0.3122625,0.2783,0.25,0.7027875,0.40125
0.425,0.5345625,0.5178,0.5,0.693475,0.52
0.575,0.4654375,0.4822,0.5,0.306525,0.48
0.575,0.5862625,0.5992875,0.5,0.4168125,0.5975
0.425,0.4137375,0.4007125,0.5,0.5831875,0.4025
0.6375,0.5415,0.56185,0.5,0.418875,0.48125
0.3625,0.4585,0.43815,0.5,0.581125,0.51875
0.6875,0.5243,1,0.6625,0,0.0125
0.3125,0.4757,0,0.3375,1,0.9875
0.6375,0.7012375,0.9765,0.7375,0.0720375,0.64625
0.3625,0.2987625,0.0235,0.2625,0.9279625,0.35375
0.6125,0.5468125,0.533275,0.5,0.5275875,0.5325
